epoch,accuracy,loss,val_accuracy,val_loss
0,0.16122733056545258,3.0977118015289307,0.0768229141831398,3.958263635635376
1,0.40625,1.977320909500122,0.076171875,3.946413993835449
2,0.4315202236175537,1.8447201251983643,0.2356770783662796,2.4212183952331543
3,0.3125,1.8172061443328857,0.240234375,2.4006166458129883
4,0.5582984685897827,1.3670985698699951,0.6022135615348816,1.237911343574524
5,0.625,1.2241209745407104,0.6041666865348816,1.232285499572754
6,0.6218055486679077,1.178330898284912,0.732421875,0.7829141616821289
7,0.0,3.3849563598632812,0.73046875,0.7872053980827332
8,0.6541143655776978,1.070153832435608,0.7682291865348816,0.6726212501525879
9,0.6875,1.0364904403686523,0.7643229365348816,0.6808131337165833
10,0.6793584227561951,0.9727426171302795,0.7734375,0.6372052431106567
11,0.8125,0.8990679383277893,0.7708333134651184,0.6390519738197327
12,0.7047419548034668,0.9132477641105652,0.7779948115348816,0.6189764142036438
13,0.6875,0.9431707859039307,0.775390625,0.6206986904144287
14,0.7055788040161133,0.8746371865272522,0.7610676884651184,0.6604773998260498
15,0.6875,1.1058714389801025,0.7610676884651184,0.6575573682785034
16,0.7237098813056946,0.8407925367355347,0.7877604365348816,0.5689604878425598
17,0.71875,0.6137747764587402,0.7890625,0.5711413621902466
18,0.7294281721115112,0.8202502727508545,0.8001301884651184,0.533490002155304
19,0.75,0.668527364730835,0.8001301884651184,0.5341697931289673
20,0.7428172826766968,0.781832754611969,0.8131510615348816,0.5211839079856873
21,0.8125,0.5110265612602234,0.80859375,0.5336186289787292
22,0.7492328882217407,0.729168713092804,0.8125,0.5408632159233093
23,0.75,0.793362021446228,0.8098958134651184,0.5444460511207581
24,0.7656903862953186,0.7160778045654297,0.8040364384651184,0.5161179900169373
25,0.625,0.9421642422676086,0.802734375,0.5178207755088806
26,0.7617852091789246,0.7148169279098511,0.8001301884651184,0.5110429525375366
27,0.78125,0.6331199407577515,0.8033854365348816,0.5079010725021362
28,0.7688981890678406,0.6935136318206787,0.7981770634651184,0.5341290235519409
29,0.75,0.6673654317855835,0.7962239384651184,0.5326330661773682
30,0.7740585803985596,0.6709617972373962,0.81640625,0.47749924659729004
31,0.8125,1.0315790176391602,0.818359375,0.4857546389102936
32,0.7779637575149536,0.661109447479248,0.826171875,0.47595128417015076
33,0.78125,0.7356625199317932,0.82421875,0.4817425012588501
34,0.7874476909637451,0.6316152215003967,0.828125,0.4750560522079468
35,0.8125,0.6199071407318115,0.8287760615348816,0.475323349237442
36,0.7821478247642517,0.6369981169700623,0.8255208134651184,0.47684669494628906
37,0.78125,0.6129089593887329,0.8255208134651184,0.47560247778892517
38,0.7882845401763916,0.6223093271255493,0.82421875,0.4747207462787628
39,0.9375,0.25743940472602844,0.822265625,0.47608688473701477
40,0.7839609384536743,0.6419313549995422,0.8268229365348816,0.49224138259887695
41,0.78125,0.6460116505622864,0.82421875,0.4952378571033478
42,0.7937238216400146,0.6032710671424866,0.82421875,0.4677755832672119
43,0.75,0.6511406898498535,0.8235676884651184,0.46795347332954407
44,0.7966527342796326,0.5967757701873779,0.8372395634651184,0.4698981046676636
45,0.8125,0.4620499610900879,0.8352864384651184,0.47203493118286133
46,0.8061366677284241,0.5750351548194885,0.845703125,0.4402545988559723
47,0.78125,0.5273900628089905,0.8483073115348816,0.4346524775028229
48,0.8103207945823669,0.5486957430839539,0.8424479365348816,0.4371565580368042
49,0.84375,0.38046687841415405,0.83984375,0.4414456784725189
50,0.807391881942749,0.5695914626121521,0.8404948115348816,0.44484904408454895
51,0.9375,0.30565011501312256,0.8385416865348816,0.446833997964859
52,0.8121339082717896,0.540707528591156,0.8333333134651184,0.44568535685539246
53,0.8125,0.6953089833259583,0.833984375,0.4494205415248871
54,0.8213388919830322,0.5178295969963074,0.8268229365348816,0.4793936312198639
55,0.71875,0.4638116955757141,0.8274739384651184,0.48009371757507324
56,0.8253835439682007,0.5118273496627808,0.8118489384651184,0.504479169845581
57,0.8125,0.6574204564094543,0.8125,0.5001649260520935
